zhiwei_data,zhiwei_web,company_data,company_web,xinzhi1,address1,newtime1
软件测试工程师,http://jobs.51job.com/shanghai-pdxq/92980728.html?s=01&amp;t=0,上海麦子资产管理有限公司,http://jobs.51job.com/all/co2314149.html,2.5-3.5万/月,上海-浦东新区,03-05
软件测试工程师,http://jobs.51job.com/shanghai-ypq/93910058.html?s=01&amp;t=0,上海佰沃网络科技有限公司,http://jobs.51job.com/all/co3410903.html,0.4-1万/月,上海-浦东新区,03-05
测试工程师,http://jobs.51job.com/shanghai/96637907.html?s=01&amp;t=0,上海浅橙网络科技有限公司,http://jobs.51job.com/all/co4154005.html,1.5-2万/月,上海-杨浦区,03-05
软件测试工程师,http://jobs.51job.com/shanghai-hpq/86847492.html?s=01&amp;t=0,上海达联电子科技有限公司,http://jobs.51job.com/all/co2275538.html,0.8-1.3万/月,上海,03-05
测试工程师,http://jobs.51job.com/shanghai-xhq/95719010.html?s=01&amp;t=0,上海车赢信息技术有限公司,http://jobs.51job.com/all/co3858922.html,0.8-1.2万/月,上海-黄浦区,03-05
高级测试工程师,http://jobs.51job.com/shanghai-ypq/97815984.html?s=01&amp;t=0,芯旸光电科技（上海）有限公司,http://jobs.51job.com/all/co2111585.html,5-7千/月,上海-徐汇区,03-05
产品测试工程师,http://jobs.51job.com/shanghai-pdxq/98046358.html?s=01&amp;t=0,上海又乐网络科技有限公司,http://jobs.51job.com/all/co4449208.html,1-1.5万/月,上海-杨浦区,03-05
初级测试工程师,http://jobs.51job.com/shanghai-ptq/83788792.html?s=01&amp;t=0,上海企仁实业有限公司,http://jobs.51job.com/all/co3111538.html,4-8千/月,上海-浦东新区,03-05
硬件测试工程师,http://jobs.51job.com/shanghai-mhq/93419980.html?s=01&amp;t=0,上海晓信信息科技有限公司,http://jobs.51job.com/all/co3936528.html,6-8千/月,上海-普陀区,03-05
电子研发测试工程师,http://jobs.51job.com/shanghai-mhq/79708820.html?s=01&amp;t=0,上海三思电子工程有限公司,http://jobs.51job.com/all/co1986700.html,4-6千/月,上海-闵行区,03-05
测试工程师,http://jobs.51job.com/shanghai-jaq/91897116.html?s=01&amp;t=0,艾普瑞（上海）精密光电有限公司,http://jobs.51job.com/all/co3724217.html,5-8千/月,上海-闵行区,03-05
测试工程师,http://jobs.51job.com/shanghai-hpq/95060728.html?s=01&amp;t=0,上海浩霖汇信息科技有限公司,http://jobs.51job.com/all/co4541526.html,0.8-1万/月,上海-静安区,03-05
移动测试工程师,http://jobs.51job.com/shanghai-pdxq/99152469.html?s=01&amp;t=0,上海量锐信息科技有限公司,http://jobs.51job.com/all/co3416149.html,0.8-1.4万/月,上海-黄浦区,03-05
调试测试工程师,http://jobs.51job.com/shanghai-qpq/80612936.html?s=01&amp;t=0,首家（上海）电子商务有限公司,http://jobs.51job.com/all/co3709292.html,0.9-1.8万/月,上海-浦东新区,03-05
测试工程师,http://jobs.51job.com/shanghai-pdxq/97011323.html?s=01&amp;t=0,上海创力集团股份有限公司,http://jobs.51job.com/all/co2455472.html,6-8千/月,上海-青浦区,03-05
中级测试工程师,http://jobs.51job.com/shanghai-ptq/96721009.html?s=01&amp;t=0,上海逸测检测技术服务有限公司,http://jobs.51job.com/all/co3548453.html,4.5-6千/月,上海-浦东新区,03-05
测试工程师Development Engineer,http://jobs.51job.com/shanghai-jdq/99150965.html?s=01&amp;t=0,上海优盛教育科技有限公司,http://jobs.51job.com/all/co4098248.html,1.5-2万/月,上海-普陀区,03-05
测试工程师,http://jobs.51job.com/shanghai/77082423.html?s=01&amp;t=0,天合汽车科技（上海）有限公司-研发中心,http://jobs.51job.com/all/co4670709.html,,上海-嘉定区,03-05
测试工程师,http://jobs.51job.com/shanghai-xhq/90903976.html?s=01&amp;t=0,云智视像科技（上海）有限公司,http://jobs.51job.com/all/co3617604.html,1-1.5万/月,上海,03-05
测试工程师,http://jobs.51job.com/shanghai-pdxq/93314268.html?s=01&amp;t=0,上海画龙信息科技有限公司,http://jobs.51job.com/all/co4054207.html,0.8-1.3万/月,上海-徐汇区,03-05
证券-主管测试工程师,http://jobs.51job.com/shanghai-pdxq/99149523.html?s=01&amp;t=0,上海络安信息技术有限公司,http://jobs.51job.com/all/co271796.html,0.8-1万/月,上海-浦东新区,03-05
手机测试工程师,http://jobs.51job.com/shanghai/98524454.html?s=01&amp;t=0,深圳市金证科技股份有限公司,http://jobs.51job.com/all/co148601.html,1-1.5万/月,上海-浦东新区,03-05
